"","Sample","Prep_library","N_primer","S_primer","Library","Stage","Individual","Sample.1","Type","Sorting_date","Plate","ERCC","Library_date","Seq_type","Bases","Reads","groups"
"P7657_1104","P7657_1104","S484","N701","S508","L1410","P60","m1","single","cell","2/5/2015","1-3/G1",1410014,"11/26/2016","single-end","50bp","150M","adult"
"P7657_1105","P7657_1105","S485","N702","S517","L1411","P60","m1","single","cell","2/5/2015","1-3/H1",1410014,"11/26/2016","single-end","50bp","150M","adult"
"P7657_1106","P7657_1106","S486","N702","S502","L1412","P60","m1","single","cell","2/5/2015","1-3/A2",1410014,"11/26/2016","single-end","50bp","150M","adult"
"P7657_1107","P7657_1107","S487","N702","S503","L1413","P60","m1","single","cell","2/5/2015","1-3/B2",1410014,"11/26/2016","single-end","50bp","150M","adult"
"P7657_1108","P7657_1108","S488","N702","S504","L1415","P60","m1","single","cell","2/5/2015","1-3/D2",1410014,"11/26/2016","single-end","50bp","150M","adult"
"P7657_1109","P7657_1109","S489","N702","S505","L1416","P60","m1","single","cell","2/5/2015","1-3/E2",1410014,"11/26/2016","single-end","50bp","150M","adult"
"P7657_1110","P7657_1110","S490","N702","S506","L1417","P60","m1","single","cell","2/5/2015","1-3/F2",1410014,"11/26/2016","single-end","50bp","150M","adult"
"P7657_1111","P7657_1111","S491","N702","S507","L1418","P60","m1","single","cell","2/5/2015","1-3/G2",1410014,"11/26/2016","single-end","50bp","150M","adult"
"P7657_1112","P7657_1112","S492","N702","S508","L1419","P60","m1","single","cell","2/5/2015","1-3/H2",1410014,"11/26/2016","single-end","50bp","150M","adult"
"P7657_1113","P7657_1113","S493","N703","S517","L1420","P60","m1","single","cell","2/5/2015","1-3/A3",1410014,"11/26/2016","single-end","50bp","150M","adult"
"P7657_1114","P7657_1114","S494","N703","S502","L1421","P60","m1","single","cell","2/5/2015","1-3/B3",1410014,"11/26/2016","single-end","50bp","150M","adult"
"P7657_1115","P7657_1115","S495","N703","S503","L1422","P60","m1","single","cell","2/5/2015","1-3/C3",1410014,"11/26/2016","single-end","50bp","150M","adult"
"P7657_1116","P7657_1116","S496","N703","S504","L1426","P60","m1","single","cell","2/5/2015","1-3/G3",1410014,"11/26/2016","single-end","50bp","150M","adult"
"P7657_1117","P7657_1117","S497","N703","S505","L1427","P60","m1","single","cell","2/5/2015","1-3/H3",1410014,"11/26/2016","single-end","50bp","150M","adult"
"P7657_1118","P7657_1118","S498","N703","S506","L1436","P21","m7","single","cell","3/12/2015","2-3/A2",1410014,"11/26/2016","single-end","50bp","150M","adult"
"P7657_1119","P7657_1119","S499","N703","S507","L1457","P21","m7","single","cell","3/12/2015","2-4/F1",1410014,"11/26/2016","single-end","50bp","150M","adult"
"P7657_1120","P7657_1120","S500","N703","S508","L1467","P21","m7","single","cell","3/12/2015","2-4/H2",1410014,"11/26/2016","single-end","50bp","150M","adult"
"P7657_1121","P7657_1121","S501","N704","S517","L1468","P21","m7","single","cell","3/12/2015","2-4/A3",1410014,"11/26/2016","single-end","50bp","150M","adult"
"P7657_1122","P7657_1122","S502","N704","S502","L1471","P21","m7","single","cell","3/12/2015","2-4/D3",1410014,"11/26/2016","single-end","50bp","150M","adult"
"P7657_1123","P7657_1123","S503","N704","S503","L1473","P21","m7","single","cell","3/12/2015","2-4/F3",1410014,"11/26/2016","single-end","50bp","150M","adult"
"P7657_1125","P7657_1125","S505","N704","S505","L1482","E19.5","m1","single","cell","5/12/2015","1-3/G1",1410014,"11/29/2016","single-end","50bp","150M","adult"
"P7657_1127","P7657_1127","S507","N704","S507","L1487","E19.5","m1","single","cell","5/12/2015","1-3/D2",1410014,"11/29/2016","single-end","50bp","150M","adult"
"P7657_1128","P7657_1128","S508","N704","S508","L1496","E19.5","m1","single","cell","5/12/2015","1-3/E3",1410014,"11/29/2016","single-end","50bp","150M","adult"
"P7657_1129","P7657_1129","S509","N705","S517","L1498","E19.5","m1","single","cell","5/12/2015","1-3/G3",1410014,"11/29/2016","single-end","50bp","150M","adult"
"P7657_1130","P7657_1130","S510","N705","S502","L1502","E19.5","m1","single","cell","5/12/2015","1-4/C1",1410014,"11/29/2016","single-end","50bp","150M","adult"
"P7657_1132","P7657_1132","S512","N705","S504","L1504","E19.5","m1","single","cell","5/12/2015","1-4/E1",1410014,"11/29/2016","single-end","50bp","150M","adult"
"P7657_1133","P7657_1133","S513","N705","S505","L1505","E19.5","m1","single","cell","5/12/2015","1-4/F1",1410014,"11/29/2016","single-end","50bp","150M","adult"
"P7657_1134","P7657_1134","S514","N705","S506","L1510","E19.5","m1","single","cell","5/12/2015","1-4/C2",1410014,"11/29/2016","single-end","50bp","150M","adult"
"P7657_1135","P7657_1135","S515","N705","S507","L1511","E19.5","m1","single","cell","5/12/2015","1-4/D2",1410014,"11/29/2016","single-end","50bp","150M","adult"
"P7657_1136","P7657_1136","S516","N705","S508","L1512","E19.5","m1","single","cell","5/12/2015","1-4/E2",1410014,"11/29/2016","single-end","50bp","150M","adult"
"P7657_1137","P7657_1137","S517","N706","S517","L1513","E19.5","m1","single","cell","5/12/2015","1-4/F2",1410014,"11/29/2016","single-end","50bp","150M","adult"
"P7657_1138","P7657_1138","S518","N706","S502","L1514","E19.5","m1","single","cell","5/12/2015","1-4/G2",1410014,"11/29/2016","single-end","50bp","150M","adult"
"P7657_1139","P7657_1139","S519","N706","S503","L1521","E19.5","m1","single","cell","5/12/2015","1-4/F3",1410014,"11/29/2016","single-end","50bp","150M","adult"
"P7657_1140","P7657_1140","S520","N706","S504","L1528","P21","m1","single","cell","3/12/2015","2-2/E1",1410014,"11/29/2016","single-end","50bp","150M","adult"
"P7657_1141","P7657_1141","S521","N706","S505","L1534","P21","m1","single","cell","3/12/2015","2-2/C2",1410014,"11/29/2016","single-end","50bp","150M","adult"
"P7657_1142","P7657_1142","S522","N706","S506","L1536","P21","m1","single","cell","3/12/2015","2-2/E2",1410014,"11/29/2016","single-end","50bp","150M","adult"
"P7657_1143","P7657_1143","S523","N706","S507","L1548","P60","m1","single","cell","2/5/2015","1-4/A1",1410014,"11/29/2016","single-end","50bp","150M","adult"
"P7657_1144","P7657_1144","S524","N706","S508","L1552","P60","m1","single","cell","2/5/2015","1-4/E1",1410014,"11/29/2016","single-end","50bp","150M","adult"
"P7657_1145","P7657_1145","S525","N707","S517","L1554","P60","m1","single","cell","2/5/2015","1-4/G1",1410014,"11/29/2016","single-end","50bp","150M","adult"
"P7657_1146","P7657_1146","S526","N707","S502","L1558","P60","m1","single","cell","2/5/2015","1-4/C2",1410014,"11/29/2016","single-end","50bp","150M","adult"
"P7657_1147","P7657_1147","S527","N707","S503","L1562","P60","m1","single","cell","2/5/2015","1-4/G2",1410014,"11/29/2016","single-end","50bp","150M","adult"
"P7657_1148","P7657_1148","S528","N707","S504","L1563","P60","m1","single","cell","2/5/2015","1-4/H2",1410014,"11/29/2016","single-end","50bp","150M","adult"
"P7657_1149","P7657_1149","S529","N707","S505","L1566","P60","m1","single","cell","2/5/2015","1-4/C3",1410014,"11/29/2016","single-end","50bp","150M","adult"
"P7657_1150","P7657_1150","S530","N707","S506","L1567","P60","m1","single","cell","2/5/2015","1-4/D3",1410014,"11/29/2016","single-end","50bp","150M","adult"
"P7657_1151","P7657_1151","S531","N707","S507","L1571","P60","m1","single","cell","2/5/2015","1-4/H3",1410014,"11/29/2016","single-end","50bp","150M","adult"
"P7657_1153","P7657_1153","S533","N708","S517","L1573","E19.5","m1","single","cell","6/23/2015","1-4/B1",1410014,"12/21/2016","single-end","50bp","150M","adult"
"P7657_1154","P7657_1154","S534","N708","S502","L1574","E19.5","m1","single","cell","6/23/2015","1-4/C1",1410014,"12/21/2016","single-end","50bp","150M","adult"
"P7657_1155","P7657_1155","S535","N708","S503","L1575","E19.5","m1","single","cell","6/23/2015","1-4/D1",1410014,"12/21/2016","single-end","50bp","150M","adult"
"P7657_1156","P7657_1156","S536","N708","S504","L1576","E19.5","m1","single","cell","6/23/2015","1-4/E1",1410014,"12/21/2016","single-end","50bp","150M","adult"
"P7657_1157","P7657_1157","S537","N708","S505","L1578","E19.5","m1","single","cell","6/23/2015","1-4/G1",1410014,"12/21/2016","single-end","50bp","150M","adult"
"P7657_1158","P7657_1158","S538","N708","S506","L1580","E19.5","m1","single","cell","6/23/2015","1-4/A2",1410014,"12/21/2016","single-end","50bp","150M","adult"
"P7657_1160","P7657_1160","S540","N708","S508","L1591","E19.5","m1","single","cell","6/23/2015","1-4/D3",1410014,"12/21/2016","single-end","50bp","150M","adult"
"P7657_1161","P7657_1161","S541","N709","S517","L1592","E19.5","m1","single","cell","6/23/2015","1-4/E3",1410014,"12/21/2016","single-end","50bp","150M","adult"
"P7657_1163","P7657_1163","S543","N709","S503","L1594","E19.5","m1","single","cell","6/23/2015","1-4/G3",1410014,"12/21/2016","single-end","50bp","150M","adult"
"P7657_1164","P7657_1164","S544","N709","S504","L1599","P2","m1","single","cell","5/12/2015","1-3/D1",1410014,"12/21/2016","single-end","50bp","150M","adult"
"P7657_1165","P7657_1165","S545","N709","S505","L1601","P2","m1","single","cell","5/12/2015","1-3/F1",1410014,"12/21/2016","single-end","50bp","150M","adult"
"P7657_1167","P7657_1167","S547","N709","S507","L1606","P2","m1","single","cell","5/12/2015","1-3/C2",1410014,"12/21/2016","single-end","50bp","150M","adult"
"P7657_1168","P7657_1168","S548","N709","S508","L1608","P2","m1","single","cell","5/12/2015","1-3/E2",1410014,"12/21/2016","single-end","50bp","150M","adult"
"P7657_1169","P7657_1169","S549","N710","S517","L1609","P2","m1","single","cell","5/12/2015","1-3/F2",1410014,"12/21/2016","single-end","50bp","150M","adult"
"P7657_1170","P7657_1170","S550","N710","S502","L1610","P2","m1","single","cell","5/12/2015","1-3/G2",1410014,"12/21/2016","single-end","50bp","150M","adult"
"P7657_1171","P7657_1171","S551","N710","S503","L1612","P2","m1","single","cell","5/12/2015","1-3/A3",1410014,"12/21/2016","single-end","50bp","150M","adult"
"P7657_1172","P7657_1172","S552","N710","S504","L1613","P2","m1","single","cell","5/12/2015","1-3/B3",1410014,"12/21/2016","single-end","50bp","150M","adult"
"P7657_1173","P7657_1173","S553","N710","S505","L1615","P2","m1","single","cell","5/12/2015","1-3/D3",1410014,"12/21/2016","single-end","50bp","150M","adult"
"P7657_1174","P7657_1174","S554","N710","S506","L1616","P2","m1","single","cell","5/12/2015","1-3/E3",1410014,"12/21/2016","single-end","50bp","150M","adult"
"P7657_1176","P7657_1176","S556","N710","S508","L1618","P2","m1","single","cell","5/12/2015","1-3/G3",1410014,"12/21/2016","single-end","50bp","150M","adult"
"P7657_1177","P7657_1177","S557","N711","S517","L1621","P21","m7","single","cell","3/12/2015","2-2/B1",1410014,"12/21/2016","single-end","50bp","150M","adult"
"P7657_1178","P7657_1178","S558","N711","S502","L1623","P21","m7","single","cell","3/12/2015","2-2/D1",1410014,"12/21/2016","single-end","50bp","150M","adult"
"P7657_1179","P7657_1179","S559","N711","S503","L1624","P21","m7","single","cell","3/12/2015","2-2/E1",1410014,"12/21/2016","single-end","50bp","150M","adult"
"P7657_1180","P7657_1180","S560","N711","S504","L1630","P21","m7","single","cell","3/12/2015","2-2/C2",1410014,"12/21/2016","single-end","50bp","150M","adult"
"P7657_1181","P7657_1181","S561","N711","S505","L1631","P21","m7","single","cell","3/12/2015","2-2/D2",1410014,"12/21/2016","single-end","50bp","150M","adult"
"P7657_1182","P7657_1182","S562","N711","S506","L1634","P21","m7","single","cell","3/12/2015","2-2/G2",1410014,"12/21/2016","single-end","50bp","150M","adult"
